calendar_start_date,Country_Category,Rank,RT_Cases
1955,PHILIPPINES,1,96
1955,AMERICAN SAMOA,2,0
1956,PHILIPPINES,1,1303
1957,PHILIPPINES,1,1455
1958,THAILAND,1,2706
1958,PHILIPPINES,2,1549
1959,THAILAND,1,2866
1959,PHILIPPINES,2,1674
1960,THAILAND,1,4717
1960,PHILIPPINES,2,2225
1960,DOMINICAN REPUBLIC,3,494
1960,VIET NAM,4,100
1960,SINGAPORE,5,88
1960,OTHERS,6,56
1961,THAILAND,1,5278
1961,PHILIPPINES,2,3684
1961,DOMINICAN REPUBLIC,3,1315
1961,SINGAPORE,4,254
1961,VENEZUELA,5,56
1961,OTHERS,6,0
1962,THAILAND,1,11225
1962,PHILIPPINES,2,3818
1962,DOMINICAN REPUBLIC,3,2137
1962,SINGAPORE,4,451
1962,VIET NAM,5,383
1962,OTHERS,6,56
1963,PUERTO RICO,1,25737
1963,THAILAND,2,13440
1963,PHILIPPINES,3,4007
1963,DOMINICAN REPUBLIC,4,2487
1963,JAMAICA,5,1578
1963,OTHERS,6,1601
1964,PUERTO RICO,1,28177
1964,THAILAND,2,21203
1964,VENEZUELA,3,18362
1964,PHILIPPINES,4,4766
1964,DOMINICAN REPUBLIC,5,2894
1964,OTHERS,6,5218
1965,PUERTO RICO,1,28270
1965,THAILAND,2,25297
1965,VENEZUELA,3,22402
1965,PHILIPPINES,4,5418
1965,DOMINICAN REPUBLIC,5,3421
1965,OTHERS,6,5481
1966,THAILAND,1,31113
1966,VENEZUELA,2,30152
1966,PUERTO RICO,3,28272
1966,PHILIPPINES,4,14802
1966,SINGAPORE,5,1785
1966,OTHERS,6,4353
1967,THAILAND,1,33173
1967,VENEZUELA,2,31482
1967,PUERTO RICO,3,28273
1967,PHILIPPINES,4,16173
1967,SINGAPORE,5,2611
1967,OTHERS,6,2893
1968,THAILAND,1,39603
1968,VENEZUELA,2,31865
1968,PUERTO RICO,3,28273
1968,PHILIPPINES,4,17289
1968,SINGAPORE,5,3459
1968,OTHERS,6,6215
1969,THAILAND,1,48273
