adm_0_name,adm_1_name,adm_2_name,replace_0_name,replace_1_name,replace_2_name
COLOMBIA,BOYACA,AQUITANIA,COLOMBIA,BOYACÁ,AQUITANIA
COLOMBIA,BOYACA,BELEN,COLOMBIA,BOYACÁ,BELEN
COLOMBIA,BOYACA,BERBEO,COLOMBIA,BOYACÁ,BERBEO
COLOMBIA,BOYACA,BETEITIVA,COLOMBIA,BOYACÁ,BETEITIVA
COLOMBIA,BOYACA,BOAVITA,COLOMBIA,BOYACÁ,BOAVITA
COLOMBIA,BOYACA,BOYACA,COLOMBIA,BOYACÁ,BOYACÁ
COLOMBIA,BOYACA,BRICENO,COLOMBIA,BOYACÁ,BRICENO
COLOMBIA,BOYACA,BUENAVISTA,COLOMBIA,BOYACÁ,BUENAVISTA
COLOMBIA,BOYACA,CALDAS,COLOMBIA,BOYACÁ,CALDAS
COLOMBIA,BOYACA,CAMPOHERMOSO,COLOMBIA,BOYACÁ,CAMPOHERMOSO
COLOMBIA,BOYACA,CERINZA,COLOMBIA,BOYACÁ,CERINZA
COLOMBIA,BOYACA,CHINAVITA,COLOMBIA,BOYACÁ,CHINAVITA
COLOMBIA,BOYACA,CHIQUINQUIRA,COLOMBIA,BOYACÁ,CHIQUINQUIRA
COLOMBIA,BOYACA,CHISCAS,COLOMBIA,BOYACÁ,CHISCAS
COLOMBIA,BOYACA,CHITA,COLOMBIA,BOYACÁ,CHITA
COLOMBIA,BOYACA,CHITARAQUE,COLOMBIA,BOYACÁ,CHITARAQUE
COLOMBIA,BOYACA,CHIVOR,COLOMBIA,BOYACÁ,CHIVOR
COLOMBIA,BOYACA,CIENEGA,COLOMBIA,BOYACÁ,CIENEGA
COLOMBIA,BOYACA,COPER,COLOMBIA,BOYACÁ,COPER
COLOMBIA,BOYACA,CORRALES,COLOMBIA,BOYACÁ,CORRALES
COLOMBIA,BOYACA,COVARACHIA,COLOMBIA,BOYACÁ,COVARACHIA
COLOMBIA,BOYACA,CUBARA,COLOMBIA,BOYACÁ,CUBARA
COLOMBIA,BOYACA,CUCAITA,COLOMBIA,BOYACÁ,CUCAITA
COLOMBIA,BOYACA,DUITAMA,COLOMBIA,BOYACÁ,DUITAMA
COLOMBIA,BOYACA,EL COCUY,COLOMBIA,BOYACÁ,EL COCUY
COLOMBIA,BOYACA,EL ESPINO,COLOMBIA,BOYACÁ,EL ESPINO
COLOMBIA,BOYACA,GARAGOA,COLOMBIA,BOYACÁ,GARAGOA
COLOMBIA,BOYACA,GUACAMAYAS,COLOMBIA,BOYACÁ,GUACAMAYAS
COLOMBIA,BOYACA,GUATEQUE,COLOMBIA,BOYACÁ,GUATEQUE
COLOMBIA,BOYACA,GUAYATA,COLOMBIA,BOYACÁ,GUAYATA
COLOMBIA,BOYACA,JENESANO,COLOMBIA,BOYACÁ,JENESANO
COLOMBIA,BOYACA,JERICO,COLOMBIA,BOYACÁ,JERICO
COLOMBIA,BOYACA,LA CAPILLA,COLOMBIA,BOYACÁ,LA CAPILLA
COLOMBIA,BOYACA,LA UVITA,COLOMBIA,BOYACÁ,LA UVITA
COLOMBIA,BOYACA,LA VICTORIA,COLOMBIA,BOYACÁ,LA VICTORIA
COLOMBIA,BOYACA,LABRANZAGRANDE,COLOMBIA,BOYACÁ,LABRANZAGRANDE
COLOMBIA,BOYACA,MACANAL,COLOMBIA,BOYACÁ,MACANAL
COLOMBIA,BOYACA,MARIPI,COLOMBIA,BOYACÁ,MARIPI
COLOMBIA,BOYACA,MIRAFLORES,COLOMBIA,BOYACÁ,MIRAFLORES
COLOMBIA,BOYACA,MONGUI,COLOMBIA,BOYACÁ,MONGUI
COLOMBIA,BOYACA,MONIQUIRA,COLOMBIA,BOYACÁ,MONIQUIRA
COLOMBIA,BOYACA,MUZO,COLOMBIA,BOYACÁ,MUZO
COLOMBIA,BOYACA,NOBSA,COLOMBIA,BOYACÁ,NOBSA
COLOMBIA,BOYACA,NUEVO COLON,COLOMBIA,BOYACÁ,NUEVO COLON
