ID,Country or Subregion,Serotype,Year,In / Out of Subregions,EW,(C/TC) x100 (e),(SD/D) x100 (e),CFR (f),Confirmed,Deaths,Epidemiological Week (a),Incidence Rate (c),Population X 1000,Severe Dengue (d),Total of Dengue Cases (b)
6,Antigua and Barbuda,  ,2017,Out,53,0,0,0,0,0,52,1.05,95,0,1
6,Bermuda,  ,2022,Out,53,,,,0,0,48,0,72,0,0
5,Dominican Republic,DEN 2,2017,Out,53,1.320616288,6.456346295,0.22,18,3,52,12.66,10767,88,1363
6,Guadeloupe,"DEN 2,4",2014,Out,53,62.84896206,0.572655691,0,878,0,48,298.5,468,8,1397
6,Jamaica,DEN 4,2015,Out,53,15.90909091,0,0,14,0,52,3.13,2813,0,88
6,Jamaica,DEN 3,2018,Out,53,2.839756592,7.403651116,1.318,28,13,52,34.01,2899,73,986
6,Curaçao,  ,2024,Out,53,87.02290076,0,0,228,0,12,172.37,152,0,262
6,Aruba,DEN 1,2014,Out,53,8.5,0,0,34,0,48,360.36,111,0,400
2,Panama,"DEN 1,2,3",2016,Out,53,34.49506614,0.304429981,0.094,3286,9,52,238.75,3990,29,9526
6,Antigua and Barbuda,DEN 3,2019,Out,53,2.943581357,0,0,36,0,48,"1,187.38",103,0,1223
3,Bolivia,DEN 4,2014,Out,53,14.7799412,1.619019215,0,3469,0,53,216.36,10848,380,23471
3,Bolivia,"DEN 1,3",2017,Out,53,9.241156908,0.665121435,0.02,917,2,52,89.78,11052,66,9923
3,Colombia,"DEN 1,2,3,4",2015,Out,53,40.93048816,1.473393887,0.161,39475,155,52,194.72,49529,1421,96444
5,Dominican Republic,DEN 1,2020,Out,53,11.42785066,6.180625631,0.908,453,36,53,36.42,10883,245,3964
6,Guadeloupe,  ,2017,Out,53,0.185185185,0,0,1,0,46,120,450,0,540
6,Guadeloupe,"DEN 1,2,3",2020,Out,53,1.453083939,0.01545834,0.01,282,2,53,"4,322.27",449,3,19407
6,Jamaica,  ,2021,Out,53,5.208333333,0,0,5,0,52,3.23,2973,0,96
6,Aruba,  ,2022,Out,53,18.18181818,0,0,2,0,52,9.09,121,0,11
2,Panama,"DEN 1,2,3,4",2024,Out,53,70.31221472,0.438196093,0.164,3851,9,16,122.89,4457,24,5477
6,Saint Barthelemy,DEN 2,2024,Out,53,0,0,0,0,0,16,"1,728.57",7,0,121
6,Saint Kitts and Nevis,  ,2014,Out,53,12,0,0,9,0,53,144.23,52,0,75
6,Saint Martin,DEN 4,2016,Out,53,1.142857143,0,0,4,0,49,"1,093.75",32,0,350
6,Suriname,DEN 2,2014,Out,53,17.39130435,0,0,4,0,53,4.23,544,0,23
6,Suriname,  ,2015,Out,53,40,0,0,6,0,52,2.74,548,0,15
6,Suriname,  ,2018,Out,53,0.81300813,0,0,1,0,52,21.65,568,0,123
6,Suriname,  ,2021,Out,53,80,0,0,8,0,51,1.69,592,0,10
6,Trinidad and Tobago,"DEN 1,4",2014,Out,53,12.16216216,0,0,18,0,53,11.01,1344,0,148
6,Turks and Caicos Islands,  ,2018,Out,53,0,0,0,0,0,52,7.14,28,0,2
6,Turks and Caicos Islands,  ,2021,Out,53,100,0,0,4,0,44,7.02,57,0,4
6,Turks and Caicos Islands,DEN 3,2024,Out,53,39.18918919,0,0,29,0,12,129.82,57,0,74
1,United States of America,  ,2014,Out,53,100,0,0,668,0,53,0.21,322583,0,668
1,United States of America,  ,2017,Out,53,100,1.986754967,0,453,0,52,0.14,324460,9,453
6,Virgin Islands (US),  ,2022,Out,53,,,,0,0,52,0,106,0,0
3,Venezuela,"DEN 1,2,3,4",2022,Out,53,22.71890613,0.376895433,0.158,2592,18,52,39.75,28705,43,11409
2,Central America Ithsmus and Mexico,  ,2018,In,53,12.97888613,1.322224025,0.05,22400,87,-,96.09,179612,2282,172588
6,Saint Kitts and Nevis,DEN 3,2020,Out,53,10,0,0,2,0,53,45.45,44,0,20
6,Saint Kitts and Nevis,"DEN 2,3",2023,Out,53,100,0,0.352,284,1,52,525.93,54,0,284
6,Saint Lucia,  ,2017,Out,53,100,0,0,66,0,52,40,165,0,66
6,Saint Lucia,"DEN 2,3",2020,Out,53,100,0,0.228,1318,3,53,732.22,180,0,1318
6,Saint Lucia,  ,2021,Out,53,100,0,0,39,0,52,23.35,167,0,39
6,Saint Lucia,DEN 2,2023,Out,53,100,0,0,60,0,52,35.93,167,0,60
6,Saint Lucia,  ,2024,Out,53,100,0,0,5,0,17,2.99,167,0,5
6,Saint Martin,"DEN 1,2",2019,Out,53,24.61538462,0,0,64,0,50,812.5,32,0,260
6,Saint Martin,  ,2022,Out,53,0,0,0,0,0,49,106.06,33,0,35
6,Saint Vincent and the Grenadines,  ,2017,Out,53,66.66666667,0,0,2,0,52,2.94,102,0,3
6,Saint Vincent and the Grenadines,DEN 3,2020,Out,53,100,0.499064255,0.499,1603,8,53,"1,457.27",110,8,1603
6,Saint Vincent and the Grenadines,  ,2023,Out,53,100,0,0,15,0,44,14.85,101,0,15
6,"Bonaire, Saint Eustatius and Saba",  ,2017,Out,53,,,,,,-,,26,,
6,"Bonaire, Saint Eustatius and Saba",  ,2018,Out,53,,,,0,0,52,0,26,0,0
2,Nicaragua,"DEN 1,2,3,4",2014,Out,53,5.448129852,0,0,1930,0,53,574.24,6169,0,35425
2,Nicaragua,DEN 2,2016,Out,53,7.478832958,,0.018,6616,16,52,"1,438.42",6150,,88463
2,Nicaragua,DEN 2,2017,Out,53,3.880269502,,0.003,2511,2,52,"1,040.72",6218,,64712
2,Nicaragua,DEN 2,2020,Out,53,2.333512502,0.129742554,0.002,1259,1,53,858.44,6285,70,53953
4,Paraguay,"DEN 1, 2",2017,Out,53,33.62445415,0,0,616,0,52,26.9,6811,0,1832
4,Paraguay,"DEN 1,2,4",2020,Out,53,27.74575256,0.074626199,0.034,62090,75,53,"3,244.63",6897,167,223782
4,Paraguay,"DEN 1,2",2023,Out,53,23.62692989,0,0.038,14936,24,52,836.85,7554,0,63216
3,Peru,"DEN 1,2,3,4",2016,Out,53,53.51763525,0.389105058,0.116,17055,37,52,100.3,31774,124,31868
5,Puerto Rico,  ,2016,Out,53,100,0,0,168,0,52,4.56,3681,0,168
5,Puerto Rico,  ,2019,Out,53,100,0,0,37,0,52,1.01,3659,0,37
5,Puerto Rico,"DEN 1,2,3",2022,Out,53,87.68328446,4.398826979,0.293,897,3,52,36.17,2828,45,1023
6,Saint Barthelemy,DEN 1,2016,Out,53,76.92307692,0,0,60,0,51,866.67,9,0,78
6,Martinique,"DEN 1,2,4",2014,Out,53,42.26190476,0.654761905,0.119,710,2,48,414.81,405,11,1680
6,Martinique,DEN 2,2017,Out,53,7.079646018,0,0,8,0,46,29.35,385,0,113
6,Martinique,"DEN 1,2,3",2020,Out,53,37.89122785,0.145070683,0.052,12276,17,53,"8,415.06",385,47,32398
6,Guyana,  ,2016,Out,53,100,0,0,303,0,52,39.3,771,0,303
6,Guyana,  ,2019,Out,53,100,0,0,230,0,24,29.41,782,0,230
2,Honduras,"DEN 2,3,4",2014,Out,53,,5.400790588,0.012,,5,53,517.53,8261,2309,42753
2,Honduras,"DEN 1,2,4",2022,Out,53,,1.720803568,0.036,,9,52,251.78,10063,436,25337
6,Jamaica,  ,2024,Out,53,0,0,0,0,0,15,38.11,2973,0,1133
6,Martinique,DEN 2,2023,Out,53,5.657527004,0.196389455,0.045,749,6,52,"3,530.40",375,26,13239
2,Mexico,"DEN 1,2,3,4",2024,Out,53,19.41335392,0.607453896,0.023,11569,14,17,45.04,132308,362,59593
6,Montserrat,DEN 2,2014,Out,53,5.882352941,0,0,1,0,53,340,5,0,17
6,Montserrat,  ,2017,Out,53,,,,0,0,52,0,5,0,0
6,Montserrat,  ,2020,Out,53,,,,0,0,10,0,5,0,0
6,Suriname,  ,2017,Out,53,0,0,0,0,0,52,0.18,563,0,1
6,Saint Kitts and Nevis,  ,2017,Out,53,10,0,0,1,0,52,18.87,53,0,10
5,Dominican Republic,"DEN 1,2,3",2023,Out,53,2.977977978,0.682825683,0.222,833,62,52,255.36,10954,191,27972
2,El Salvador,"DEN 1,2,3",2015,Out,53,19.92864119,0.727540912,0.012,9998,6,52,780.72,6426,365,50169
2,El Salvador,DEN 2,2018,Out,53,9.339488636,1.870265152,0.095,789,8,52,131.75,6412,158,8448
6,French Guiana,"DEN 1,2",2016,Out,53,1.724137931,0,0,9,0,51,189.13,276,0,522
6,Grenada,  ,2015,Out,53,100,0,0,25,0,52,22.52,111,0,25
6,Dominica,  ,2023,Out,53,,,,,,-,,75,,
5,Dominican Republic,"DEN 1,2,4",2014,Out,53,,6.758049091,0.988,,62,53,59.59,10529,424,6274
6,Grenada,  ,2018,Out,53,100,0,0,463,0,52,428.7,108,0,463
6,Grenada,  ,2021,Out,53,100,0,0,230,0,48,201.75,114,0,230
6,Grenada,  ,2024,Out,53,0,0.793650794,0,0,0,17,110.53,114,1,126
6,"Bonaire, Saint Eustatius and Saba",  ,2014,Out,53,,,,,,-,,225,,
6,Guadeloupe,"DEN 1,2",2023,Out,53,7.624882989,0.382946132,0.06,896,7,52,"2,937.75",400,45,11751
2,Guatemala,"DEN 1,2,3,4",2015,Out,53,6.800310112,0.276885591,0.05,1228,9,52,111.09,16255,50,18058
2,Guatemala,"DEN 1,2,3,4",2016,Out,53,3.731343284,0.53143374,0.011,330,1,52,53.04,16673,47,8844
4,Brazil,"DEN 1,2,3,4",2023,Out,53,45.6282399,0.052314343,0.038,1409465,1179,52,"1,443.51",213993,1616,3089019
2,Belize,  ,2014,Out,53,10.2164831,5.65894417,0,269,0,53,754.44,349,149,2633
2,Belize,  ,2022,Out,53,3.75984252,0,0,191,0,52,"1,279.60",397,0,5080
6,Virgin Islands (UK),  ,2023,Out,53,100,0,0,7,0,52,18.42,38,0,7
1,Canada,  ,2016,Out,53,,,,0,0,52,,0,0,0
