País,Year,Country,Código,FIPS (FZ_Dengue),ISO3166Alpha2 (FZ_Dengue),ISO3166Alpha3 (FZ_Dengue),PAHOCode (FZ_Dengue),Region (FZ_Dengue),RegionLvl0 (FZ_Dengue),RegionLvl1 (FZ_Dengue),RegionLvl2 (FZ_Dengue),RegionLvl3 (FZ_Dengue),Tipo,TIS (FZ_Dengue),WPais (FZ_Dengue),Dengue,Dengue Grave,Letalidad,Muertes,PAHOCodeNum (FZ_Dengue),PopFemale,PopMale,PopTot,Total
Antigua y Barbuda,2015,Antigua and Barbuda,28,AC,AG,ATG,ANT,NLC,AMR,LAC,NLC,CAR,Preliminar,ANT,ATG,14,0,0,0,431,47062,42828,89916,14
Antigua y Barbuda,2016,Antigua and Barbuda,28,AC,AG,ATG,ANT,NLC,AMR,LAC,NLC,CAR,Preliminar,ANT,ATG,103,0,0,0,431,47363,43152,90546,103
Antigua y Barbuda,2017,Antigua and Barbuda,28,AC,AG,ATG,ANT,NLC,AMR,LAC,NLC,CAR,Preliminar,ANT,ATG,1,0,0,0,431,47634,43437,91092,1
Antigua y Barbuda,2018,Antigua and Barbuda,28,AC,AG,ATG,ANT,NLC,AMR,LAC,NLC,CAR,Preliminar,ANT,ATG,8,0,0,0,431,47883,43691,91600,8
Antigua y Barbuda,2019,Antigua and Barbuda,28,AC,AG,ATG,ANT,NLC,AMR,LAC,NLC,CAR,Preliminar,ANT,ATG,1223,0,0,0,431,48133,43932,92092,1223
Antigua y Barbuda,2020,Antigua and Barbuda,28,AC,AG,ATG,ANT,NLC,AMR,LAC,NLC,CAR,Preliminar,ANT,ATG,407,0,0,0,431,48401,44211,92638,407
Antigua y Barbuda,2021,Antigua and Barbuda,28,AC,AG,ATG,ANT,NLC,AMR,LAC,NLC,CAR,Final,ANT,ATG,25,0,0,0,431,48683,44487,93197,25
Antigua y Barbuda,2022,Antigua and Barbuda,28,AC,AG,ATG,ANT,NLC,AMR,LAC,NLC,CAR,Final,ANT,ATG,48,0,0,0,431,48959,44758,93735,48
Antigua y Barbuda,2023,Antigua and Barbuda,28,AC,AG,ATG,ANT,NLC,AMR,LAC,NLC,CAR,Preliminar,ANT,ATG,254,0,0,0,431,49218,45029,94273,254
Antigua y Barbuda,2024,Antigua and Barbuda,28,AC,AG,ATG,ANT,NLC,AMR,LAC,NLC,CAR,Preliminar,ANT,ATG,41,0,0,0,431,49474,45285,94794,41
Argentina,1980,Argentina,32,AR,AR,ARG,ARG,SCR,AMR,LAC,SAR,LAM,Final,ARG,ARG,0,0,,0,425,14220720,13804027,28024777,0
Argentina,1981,Argentina,32,AR,AR,ARG,ARG,SCR,AMR,LAC,SAR,LAM,Final,ARG,ARG,0,0,,0,425,14453093,14018143,28471264,0
Argentina,1982,Argentina,32,AR,AR,ARG,ARG,SCR,AMR,LAC,SAR,LAM,Final,ARG,ARG,0,0,,0,425,14688490,14234225,28922737,0
Argentina,1983,Argentina,32,AR,AR,ARG,ARG,SCR,AMR,LAC,SAR,LAM,Final,ARG,ARG,0,0,,0,425,14924458,14452624,29377115,0
Argentina,1984,Argentina,32,AR,AR,ARG,ARG,SCR,AMR,LAC,SAR,LAM,Final,ARG,ARG,0,0,,0,425,15159705,14672435,29832180,0
Argentina,1985,Argentina,32,AR,AR,ARG,ARG,SCR,AMR,LAC,SAR,LAM,Final,ARG,ARG,0,0,,0,425,15392778,14894277,30287085,0
Argentina,1986,Argentina,32,AR,AR,ARG,ARG,SCR,AMR,LAC,SAR,LAM,Final,ARG,ARG,0,0,,0,425,15626521,15121754,30748302,0
Argentina,1987,Argentina,32,AR,AR,ARG,ARG,SCR,AMR,LAC,SAR,LAM,Final,ARG,ARG,0,0,,0,425,15862695,15353703,31216429,0
Argentina,1988,Argentina,32,AR,AR,ARG,ARG,SCR,AMR,LAC,SAR,LAM,Final,ARG,ARG,0,0,,0,425,16100914,15589828,31690767,0
Argentina,1989,Argentina,32,AR,AR,ARG,ARG,SCR,AMR,LAC,SAR,LAM,Final,ARG,ARG,0,0,,0,425,16338691,15827020,32165739,0
Argentina,1990,Argentina,32,AR,AR,ARG,ARG,SCR,AMR,LAC,SAR,LAM,Final,ARG,ARG,0,0,,0,425,16574112,16063489,32637631,0
Argentina,1991,Argentina,32,AR,AR,ARG,ARG,SCR,AMR,LAC,SAR,LAM,Final,ARG,ARG,0,0,,0,425,16807567,16298146,33105734,0
Argentina,1992,Argentina,32,AR,AR,ARG,ARG,SCR,AMR,LAC,SAR,LAM,Final,ARG,ARG,0,0,,0,425,17039056,16529181,33568261,0
Argentina,1993,Argentina,32,AR,AR,ARG,ARG,SCR,AMR,LAC,SAR,LAM,Final,ARG,ARG,0,0,,0,425,17269464,16757721,34027214,0
